,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
5981,Southwest,Chom Thong,100.46541,13.66149,Private room,2632,0,0,0.0
5982,Southwest,Bang Rak,100.52617,13.7331,Entire home/apt,2597,0,0,0.0
5987,Southwest,Bang Rak,100.51744,13.72345,Entire home/apt,900,0,275,0.0
5995,Southwest,Thon buri,100.48979,13.72859,Entire home/apt,2565,0,275,0.0
5997,Southwest,Sathon,100.52976,13.71764,Private room,1000,4,365,1.6094379124341003
6005,Southwest,Bang Rak,100.52137,13.72579,Entire home/apt,2606,1,274,0.6931471805599453
6006,Southwest,Bang Rak,100.51446,13.72085,Entire home/apt,2606,1,274,0.6931471805599453
6007,Southwest,Sathon,100.51442,13.7129,Entire home/apt,773,52,219,3.970291913552122
6008,Southwest,Sathon,100.51442,13.7129,Entire home/apt,767,65,216,4.189654742026425
6009,Southwest,Sathon,100.51442,13.7129,Entire home/apt,590,41,149,3.7376696182833684
6015,Southwest,Rat Burana,100.49117,13.68849,Entire home/apt,1157,23,34,3.1780538303479458
6020,Southwest,Sathon,100.51443,13.71284,Entire home/apt,767,72,26,4.290459441148391
6029,Southwest,Khlong San,100.50411,13.72126,Entire home/apt,1499,12,95,2.5649493574615367
6030,Southwest,Thon buri,100.49274,13.72136,Entire home/apt,1300,49,56,3.912023005428146
6033,Southwest,Chom Thong,100.46869,13.70293,Entire home/apt,950,1,365,0.6931471805599453
6035,Southwest,Bang Rak,100.51968,13.71947,Entire home/apt,1500,12,166,2.5649493574615367
6036,Southwest,Sathon,100.53106,13.71822,Private room,1500,0,184,0.0
6037,Southwest,Bang Rak,100.5244,13.72687,Hotel room,1000,0,235,0.0
6045,Southwest,Khlong San,100.49655,13.72032,Entire home/apt,3331,0,1,0.0
6048,Southwest,Bang Rak,100.52745,13.72864,Entire home/apt,2014,73,13,4.30406509320417
6051,Southwest,Bang Kho laen,100.51481,13.70049,Entire home/apt,971,11,55,2.4849066497880004
6066,Southwest,Sathon,100.54743,13.72024,Entire home/apt,400,22,195,3.1354942159291497
6077,Southwest,Sathon,100.52948,13.71915,Entire home/apt,1800,17,201,2.8903717578961645
6078,Southwest,Sathon,100.53094,13.71731,Private room,1500,6,192,1.9459101490553132
